Sample	Input Reads	Surviving Reads	Percent Surviving
epitent-2_S100	7686138	7615962	99.09
cephalictent-1_S93	7084687	6848313	96.66
epipodal-2_S98	8132759	7974160	98.05
postesophagus-1_S122	8435838	8309214	98.50
postesophagus-2_S123	10916869	10915675	99.99
epipodal-1_S97	17358667	17079930	98.39
fgonad-2_S102	9765504	9764663	99.99
fgonad-1_S101	9290729	9128998	98.26
liver-2_S117	4596787	4545464	98.88
foot-1_S103	9108233	9104902	99.96
foot-2_S104	9348109	9344464	99.96
gill-2_S108	8034603	8033026	99.98
heart-2_S110	7362340	7359623	99.96
gill-1_S107	7391298	7389408	99.97
ganglion-2_S106	10458645	10457626	99.99
cephalictent-2_S94	10382229	10381428	99.99
ganglion-1_S105	8482831	8380431	98.79
epitent-1_S99	5982778	5884569	98.36
kidney-1_S112	10064369	9951149	98.88
mantle-2_S119	9768226	9767532	99.99
mantle-1_S118	9371749	9370217	99.98
heart-1_S109	6701518	6620366	98.79
liver-1_S116	7921131	7773923	98.14
kidney-2_S113	7844476	7774458	99.11
