Sample	Input Reads	Surviving Reads	Percent Surviving
649_S73	6144472	5306662	86.36
319_S34	5569330	4781293	85.85
329_S36	5179805	4551095	87.86
339_S50	5341270	4509386	84.43
239_S30	4277877	3803550	88.91
484_S55	4942101	3911757	79.15
584_S23	5161643	4228780	81.93
304_S31	5053111	4212469	83.36
604_S39	5018098	4038220	80.47
9_S8	5075185	3566448	70.27
499_S58	5555006	4585325	82.54
19_S10	4871998	3442374	70.66
144_S12	4987467	3550145	71.18
214_S13	4567900	3637843	79.64
564_S19	4872899	3751779	76.99
959_S69	3827541	3130379	81.79
914_S79	5133440	4416400	86.03
504_S6	5024401	3828753	76.20
364_S5	5277042	3955634	74.96
594_S37	4997865	4100265	82.04
874_S78	4553926	3823861	83.97
684_S48	5154682	4491080	87.13
804_S62	4418091	4157843	94.11
739_S75	4804562	4073654	84.79
494_S57	4273898	3560625	83.31
719_S61	4700970	3480084	74.03
324_S35	5287096	4760249	90.04
619_S42	6799634	5761221	84.73
634_S45	3136238	2656625	84.71
629_S44	2630650	2092263	79.53
489_S56	5483803	4399034	80.22
479_S54	4949724	4074333	82.31
644_S47	5538340	4452028	80.39
269_S2	5298119	4144042	78.22
929_S67	5804736	5080312	87.52
934_S68	5541043	4714456	85.08
374_S15	4525975	3484149	76.98
574_S21	4450501	3429154	77.05
514_S17	5536908	5175921	93.48
579_S22	5662653	4594048	81.13
819_S77	5433254	4708632	86.66
139_S11	4962540	3726025	75.08
469_S52	4998039	4148887	83.01
309_S32	5359479	4334865	80.88
609_S40	4221632	3503164	82.98
624_S43	7249239	5816951	80.24
569_S20	5481691	4407270	80.40
879_S66	5254058	4775920	90.90
314_S33	4552980	3781184	83.05
509_S16	5296914	4664115	88.05
149_S26	4865896	3843446	78.99
369_S14	7764715	6717151	86.51
589_S24	5662804	4512667	79.69
474_S53	5089837	4105022	80.65
639_S46	5760199	4805924	83.43
279_S4	4203877	3226312	76.75
614_S41	5396010	4512660	83.63
264_S1	4477894	3205639	71.59
919_S80	4895222	4333649	88.53
964_S70	6204189	4960848	79.96
519_S59	5779282	4755241	82.28
784_S76	5272865	4657543	88.33
809_S63	5494900	5094913	92.72
224_S27	4446823	3402958	76.53
274_S3	4270398	2369658	55.49
859_S65	5788140	5167369	89.28
134_S25	3607773	2734282	75.79
599_S38	5623918	4452838	79.18
524_S60	4841313	3944849	81.48
849_S64	5191082	4671799	90.00
534_S72	5295328	4130102	78.00
704_S74	5252824	4426649	84.27
4_S7	7282694	5312245	72.94
334_S49	5189401	4466988	86.08
234_S29	4766816	3933630	82.52
464_S51	5398966	4529938	83.90
14_S9	4367414	2969315	67.99
Undetermined_S0	10290702	9048606	87.93
559_S18	5088859	4325763	85.00
229_S28	3892306	3198428	82.17
529_S71	6019122	4525713	75.19
